iter	Passed	Remaining
0	202	202452
1	251	125314
2	303	100807
3	348	86845
4	390	77761
5	433	71770
6	477	67751
7	522	64751
8	561	61824
9	612	60656
10	664	59702
11	708	58311
12	753	57175
13	797	56135
14	842	55313
15	886	54502
16	930	53808
17	980	53468
18	1025	52970
19	1072	52536
20	1116	52058
21	1163	51707
22	1196	50809
23	1233	50161
24	1271	49607
25	1319	49425
26	1362	49084
27	1406	48838
28	1444	48359
29	1486	48064
30	1530	47828
31	1570	47520
32	1608	47145
33	1651	46935
34	1695	46752
35	1738	46559
36	1777	46268
37	1815	45969
38	1855	45714
39	1893	45434
40	1939	45354
41	1985	45284
42	2029	45165
43	2072	45027
44	2118	44957
45	2152	44645
46	2193	44475
47	2238	44392
48	2282	44303
49	2320	44094
50	2363	43986
51	2413	43991
52	2459	43939
53	2510	43987
54	2561	44013
55	2605	43913
56	2648	43820
57	2677	43486
58	2729	43540
59	2822	44218
60	2889	44485
61	2936	44424
62	2991	44491
63	3057	44708
64	3102	44633
65	3157	44689
66	3218	44813
67	3274	44875
68	3330	44940
69	3380	44914
70	3428	44860
71	3472	44761
72	3515	44636
73	3556	44504
74	3596	44352
75	3638	44236
76	3680	44119
77	3718	43949
78	3760	43840
79	3795	43644
80	3836	43528
81	3881	43457
82	3919	43298
83	3957	43153
84	3998	43040
85	4036	42900
86	4086	42881
87	4124	42746
88	4165	42639
89	4206	42535
90	4243	42392
91	4278	42229
92	4318	42113
93	4364	42063
94	4410	42011
95	4452	41931
96	4497	41870
97	4543	41821
98	4587	41748
99	4630	41673
100	4669	41565
101	4712	41488
102	4753	41397
103	4793	41294
104	4836	41223
105	4884	41198
106	4929	41139
107	4976	41101
108	5017	41011
109	5067	41003
110	5113	40953
111	5149	40826
112	5187	40718
113	5231	40661
114	5274	40587
115	5313	40489
116	5353	40405
117	5393	40313
118	5440	40275
119	5486	40233
120	5520	40105
121	5563	40040
122	5602	39947
123	5648	39904
124	5686	39807
125	5724	39710
126	5764	39626
127	5804	39545
128	5849	39497
129	5888	39404
130	5928	39325
131	5970	39260
132	6017	39229
133	6053	39123
134	6099	39082
135	6138	38996
136	6178	38919
137	6221	38859
138	6264	38800
139	6308	38750
140	6349	38681
141	6395	38640
142	6437	38578
143	6478	38509
144	6521	38454
145	6557	38354
146	6596	38277
147	6637	38209
148	6690	38212
149	6729	38135
150	6772	38080
151	6814	38015
152	6857	37961
153	6896	37885
154	6932	37793
155	6968	37699
156	7008	37631
157	7056	37603
158	7109	37604
159	7146	37516
160	7186	37452
161	7231	37407
162	7276	37364
163	7315	37293
164	7357	37231
165	7417	37265
166	7471	37270
167	7544	37361
168	7634	37541
169	7692	37559
170	7754	37594
171	7820	37645
172	7879	37668
173	7944	37711
174	8004	37734
175	8059	37731
176	8124	37774
177	8184	37795
36703
179	8065	36741
180	8124	36761
181	8186	36794
182	8245	36813

183	8186	36303
184	8243	36315
85	8208	35922
186	8267	35943
