iter	Passed	Remaining
0	11	11487
1	22	11237
2	33	11029
3	44	11058
4	54	10905
5	66	10948
6	75	10734
7	85	10621
8	96	10615
9	105	10425
10	114	10250
11	122	10098
12	131	9950
13	138	9756
14	146	9590
15	152	9408
16	159	9244
17	166	9074
18	173	8975
19	180	8849
20	188	8808
21	195	8712
22	202	8605
23	209	8523
24	216	8455
25	223	8383
26	232	8375
27	240	8362
28	247	8287
29	254	8221
30	260	8152
31	267	8090
32	274	8036
33	281	7985
34	288	7955
35	309	8289
36	317	8273
37	326	8253
38	333	8218
39	341	8184
40	348	8146
41	356	8132
42	363	8096
43	372	8087
44	379	8054
45	387	8035
46	395	8021
47	403	7993
48	411	7979
49	418	7957
50	426	7936
51	434	7924
52	442	7907
53	450	7894
54	459	7888
55	466	7863
56	474	7852
57	483	7846
58	490	7830
59	498	7805
60	506	7793
61	513	7771
62	520	7748
63	527	7717
64	536	7719
65	545	7720
66	617	8605
67	655	8982
68	672	9072
69	696	9258
70	709	9280
71	736	9494
72	753	9574
73	769	9624
74	864	10659
75	904	10995
76	913	10955
77	923	10911
78	931	10861
79	941	10822
80	950	10788
81	959	10741
82	967	10684
83	975	10636
84	984	10592
85	991	10535
86	998	10480
87	1006	10434
88	1018	10420
89	1028	10399
90	1038	10377
91	1052	10385
92	1063	10369
93	1073	10347
94	1082	10310
95	1092	10288
96	1102	10258
97	1112	10241
98	1121	10206
99	1143	10291
100	1151	10245
101	1158	10203
102	1166	10157
103	1174	10116
104	1183	10085
105	1194	10077
106	1204	10052
107	1213	10026
108	1223	10002
109	1231	9966
110	1241	9945
111	1251	9920
112	1263	9918
113	1273	9901
114	1283	9878
115	1292	9849
116	1308	9874
117	1340	10018
118	1361	10079
119	1617	11861
120	1630	11843
121	1640	11805
122	1652	11781
123	1662	11746
124	1671	11703
125	1682	11667
126	1690	11623
127	1698	11571
128	1706	11524
129	1713	11469
130	1721	11418
131	1728	11365
132	1735	11315
133	1743	11266
134	1750	11216
135	1757	11168
136	1765	11120
137	1772	11070
138	1779	11024
139	1787	10978
140	1794	10931
141	1801	10882
142	1809	10843
143	1816	10799
144	1824	10760
145	1834	10733
146	1843	10699
147	1853	10670
148	1863	10642
149	1871	10603
150	1878	10561
151	1885	10519
152	1892	10478
153	1899	10434
154	1906	10393
155	1913	10352
156	1920	10314
157	1928	10275
158	1937	10246
159	1944	10207
160	1951	10168
161	1958	10130
162	1965	10092
163	1972	10054
164	1979	10017
165	1986	9981
166	1993	9944
167	2000	9906
168	2007	9869
169	2013	9831
170	2021	9800
171	2028	9765
172	2035	9730
173	2042	9697
174	2050	9667
175	2057	9633
176	2065	9603
177	2072	9568
178	2079	9537
179	2086	9506
180	2093	9472
181	2100	9441
182	2108	9411
183	2115	9383
184	2124	9357
185	2131	9329
186	2138	9299
187	2148	9278
188	2155	9250
189	2164	9225
190	2170	9194
191	2179	9170
192	2186	9143
193	2194	9117
194	2201	9087
195	2208	9059
196	2215	9030
197	2222	9003
198	2230	8976
199	2237	8949
200	2245	8924
201	2252	8898
202	2259	8871
203	2267	8846
204	2274	8819
205	2280	8789
206	2286	8761
207	2293	8731
208	2298	8699
209	2304	8668
210	2309	8636
211	2315	8605
212	2321	8576
213	2327	8547
214	2332	8516
215	2338	8486
216	2344	8459
217	2349	8428
218	2355	8400
219	2361	8372
220	2367	8345
221	2373	8319
222	2379	8292
223	2386	8265
224	2392	8240
225	2399	8216
226	2405	8192
227	2411	8166
228	2419	8145
229	2425	8121
230	2432	8097
231	2438	8073
232	2445	8048
233	2451	8024
234	2457	8001
235	2464	7978
236	2471	7956
237	2477	7933
238	2484	7910
239	2490	7886
240	2496	7863
241	2503	7841
242	2510	7820
243	2517	7799
244	2523	7776
245	2529	7754
246	2536	7732
247	2543	7711
248	2549	7689
249	2555	7667
250	2562	7647
251	2568	7624
252	2574	7602
253	2581	7582
254	2588	7561
255	2594	7540
256	2601	7520
257	2608	7500
258	2615	7481
259	2621	7461
260	2627	7440
261	2634	7421
262	2641	7400
263	2648	7383
264	2654	7363
265	2661	7344
266	2668	7324
267	2674	7305
268	2681	7286
269	2687	7266
270	2693	7246
271	2700	7226
272	2706	7207
273	2713	7189
274	2719	7170
275	2726	7152
276	2732	7133
277	2739	7115
278	2746	7096
279	2752	7078
280	2759	7061
281	2766	7043
282	2772	7024
283	2779	7006
284	2785	6988
285	2792	6970
286	2798	6953
287	2805	6934
288	2811	6916
289	2818	6899
290	2824	6881
291	2831	6864
292	2837	6847
293	2844	6830
294	2851	6813
295	2858	6797
296	2864	6780
297	2870	6762
298	2876	6745
299	2883	6728
300	2890	6712
301	2896	6695
302	2903	6679
303	2925	6698
304	2936	6690
305	2945	6680
306	2955	6672
307	2965	6662
308	2975	6653
309	2983	6641
310	2991	6628
311	2999	6613
312	3006	6599
313	3013	6583
314	3020	6569
315	3027	6553
316	3034	6538
317	3041	6522
318	3047	6506
319	3053	6489
320	3060	6474
321	3067	6458
322	3073	6442
323	3080	6427
324	3087	6411
325	3093	6395
326	3099	6379
327	3106	6363
328	3112	6347
329	3118	6332
330	3125	6317
331	3132	6302
332	3139	6287
333	3145	6272
334	3151	6256
335	3158	6241
336	3164	6226
337	3171	6210
338	3177	6195
339	3183	6180
340	3190	6165
341	3196	6150
342	3203	6135
343	3209	6120
344	3216	6106
345	3222	6091
346	3230	6078
347	3236	6064
348	3243	6049
349	3249	6035
350	3256	6020
351	3262	6006
352	3269	5992
353	3280	5986
354	3287	5973
355	3293	5958
356	3300	5944
357	3306	5929
358	3330	5946
359	3338	5934
360	3348	5927
361	3360	5922
362	3371	5915
363	3381	5907
364	3389	5895
365	3395	5882
366	3402	5869
367	3410	5856
368	3416	5842
369	3423	5829
370	3429	5814
371	3437	5803
372	3444	5789
373	3450	5775
374	3458	5764
375	3465	5751
376	3472	5737
377	3478	5723
378	3485	5711
