DDR_A,DDR_R,DDR_N,DDR_D,DDR_C,DDR_Q,DDR_E,DDR_G,DDR_H,DDR_I,DDR_L,DDR_K,DDR_M,DDR_F,DDR_P,DDR_S,DDR_T,DDR_W,DDR_Y,DDR_V,
7.17,10.21,0.00,9.41,7.72,0.00,17.05,0.00,8.63,0.00,0.00,15.26,8.53,5.61,0.00,17.05,11.16,0.00,13.68,8.17,
18.18,12.59,0.00,0.00,0.00,8.40,8.67,26.04,15.18,0.00,7.88,6.04,0.00,20.89,8.88,9.04,0.00,0.00,0.00,0.00,
9.27,12.12,23.14,20.14,0.00,30.36,13.64,22.03,20.14,0.00,10.24,28.69,0.00,0.00,15.70,10.15,27.14,0.00,12.91,25.69,
6.36,8.93,0.00,0.00,0.00,5.69,0.00,3.25,8.93,0.00,5.69,0.00,12.07,0.00,0.00,0.00,6.36,6.07,0.00,6.93,
8.79,11.81,10.81,0.00,12.50,0.00,13.19,12.59,0.00,0.00,16.15,7.76,0.00,13.68,17.26,16.88,18.81,16.15,0.00,0.00,
8.42,0.00,3.82,0.00,0.00,10.08,0.00,5.27,6.08,0.00,0.00,0.00,0.00,5.42,0.00,5.08,0.00,6.08,4.00,0.00,
6.19,5.19,0.00,16.06,0.00,0.00,0.00,3.87,0.00,0.00,5.29,0.00,0.00,0.00,0.00,9.39,8.72,10.47,0.00,14.28,
9.65,0.00,10.25,16.25,0.00,0.00,3.07,11.39,0.00,0.00,7.50,0.00,18.05,0.00,11.05,0.00,0.00,0.00,12.05,6.95,
6.18,5.27,4.55,0.00,0.00,0.00,9.09,6.18,0.00,0.00,4.73,0.00,7.45,0.00,7.45,0.00,4.73,4.50,0.00,0.00,
18.50,30.15,5.37,8.97,19.85,0.00,0.00,4.21,0.00,17.03,0.00,29.37,0.00,19.31,12.85,12.26,26.17,0.00,10.91,29.37,
0.00,4.31,12.07,3.08,0.00,0.00,7.79,7.79,0.00,6.93,10.36,0.00,0.00,6.62,0.00,6.07,0.00,0.00,0.00,12.07,
26.54,9.23,15.66,10.82,0.00,18.39,10.61,28.68,23.45,20.77,7.89,0.00,20.12,22.69,36.31,20.62,0.00,0.00,40.02,20.82,
15.07,28.09,42.46,37.28,20.91,13.58,57.87,0.00,0.00,16.55,30.38,8.50,51.25,24.18,25.20,21.40,19.42,45.92,27.79,18.44,
8.67,19.22,7.77,0.00,0.00,0.00,4.94,7.86,12.70,10.61,13.65,0.00,0.00,0.00,0.00,5.37,17.57,0.00,0.00,0.00,
27.71,25.60,31.42,18.71,0.00,54.22,10.06,18.19,29.68,17.88,8.04,29.46,29.22,26.68,16.55,9.31,22.27,0.00,0.00,24.91,
13.05,0.00,4.39,0.00,0.00,0.00,14.19,7.89,0.00,11.90,3.18,11.90,9.62,0.00,0.00,6.63,0.00,0.00,0.00,0.00,
10.38,8.72,15.19,7.28,0.00,12.04,0.00,13.19,0.00,0.00,13.58,8.73,0.00,10.16,0.00,9.68,0.00,0.00,16.15,20.42,
27.68,19.56,14.00,6.50,0.00,25.26,8.50,9.57,23.46,0.00,15.97,21.45,0.00,0.00,0.00,17.74,20.02,0.00,0.00,38.12,
31.74,14.44,31.46,19.54,34.01,35.55,23.10,9.02,66.07,37.69,12.49,29.83,42.76,19.60,17.25,9.87,28.75,64.19,34.81,24.63,
7.47,10.30,0.00,20.62,0.00,8.91,11.26,0.00,21.66,17.03,14.97,21.03,0.00,31.14,15.68,18.57,9.91,0.00,0.00,18.14,
8.95,0.00,4.94,15.26,0.00,0.00,6.31,0.00,0.00,0.00,5.76,0.00,0.00,7.28,13.68,9.47,10.21,11.16,0.00,0.00,
7.11,10.42,23.79,17.27,0.00,0.00,16.03,5.68,0.00,0.00,8.21,13.64,0.00,22.50,27.39,14.85,0.00,0.00,28.38,0.00,
0.00,0.00,0.00,4.10,0.00,8.10,0.00,3.30,0.00,0.00,0.00,0.00,6.18,9.09,0.00,0.00,4.55,5.27,5.27,0.00,
6.88,7.74,19.29,24.20,0.00,42.11,8.02,20.07,27.66,24.98,6.63,0.00,43.11,43.11,16.54,35.33,0.00,0.00,0.00,14.27,
7.10,11.66,0.00,14.97,0.00,7.39,19.25,24.51,0.00,0.00,8.97,0.00,0.00,0.00,0.00,18.03,29.08,0.00,20.24,0.00,
19.36,0.00,14.51,20.16,9.03,13.36,17.74,10.42,15.92,0.00,21.89,14.69,18.86,33.14,16.36,11.71,0.00,0.00,20.97,25.30,
13.04,12.07,8.48,0.00,13.19,0.00,13.46,8.19,0.00,0.00,16.04,8.42,0.00,14.30,13.42,23.19,22.46,17.04,16.04,24.18,
8.05,18.72,34.35,9.31,0.00,15.40,40.52,15.26,19.96,37.27,11.96,27.62,0.00,0.00,11.56,13.25,0.00,26.77,30.60,27.19,
19.05,6.35,0.00,0.00,0.00,6.65,0.00,8.55,0.00,0.00,8.76,10.59,0.00,12.95,15.14,6.65,11.14,0.00,0.00,11.86,
0.00,9.62,14.19,8.55,0.00,9.52,9.90,13.25,9.45,0.00,0.00,11.05,9.47,11.90,19.05,11.90,9.90,0.00,15.62,9.45,
5.30,9.09,0.00,0.00,0.00,5.27,0.00,3.30,0.00,0.00,0.00,0.00,3.30,4.73,7.45,6.18,0.00,0.00,0.00,0.00,
18.97,13.76,31.64,27.61,10.76,28.56,17.08,13.37,19.79,0.00,9.42,35.13,0.00,13.18,9.89,10.19,30.05,18.56,0.00,11.75,
4.77,6.07,0.00,0.00,0.00,0.00,0.00,3.75,0.00,10.36,3.85,0.00,8.93,0.00,0.00,7.79,10.36,0.00,11.08,0.00,
27.08,18.66,24.75,18.55,20.75,0.00,37.77,17.31,55.39,26.42,19.18,49.83,31.98,28.82,25.89,17.51,34.82,0.00,46.22,44.61,
0.00,2.44,5.10,9.09,0.00,4.55,0.00,0.00,0.00,0.00,6.18,0.00,0.00,4.50,4.73,0.00,0.00,0.00,0.00,0.00,
0.00,4.92,2.55,0.00,0.00,0.00,9.38,0.00,0.00,8.00,11.08,0.00,0.00,6.92,6.92,4.18,0.00,0.00,0.00,0.00,
10.76,14.24,14.58,25.51,0.00,51.02,19.84,21.17,15.46,13.82,11.11,17.13,45.47,0.00,16.20,26.75,0.00,0.00,0.00,13.78,
8.56,14.28,9.39,0.00,0.00,6.00,12.72,11.65,0.00,0.00,5.18,0.00,0.00,7.53,11.39,5.53,0.00,8.06,0.00,0.00,
15.62,5.16,10.25,0.00,0.00,10.38,0.00,14.65,7.75,9.90,0.00,9.62,0.00,12.95,6.25,0.00,17.24,17.24,0.00,6.42,
14.46,8.36,24.36,23.18,0.00,16.29,12.45,0.00,22.62,20.55,12.91,0.00,0.00,18.82,34.33,13.62,11.34,0.00,0.00,38.02,
