QSO3_SC_A,QSO3_SC_R,QSO3_SC_N,QSO3_SC_D,QSO3_SC_C,QSO3_SC_Q,QSO3_SC_E,QSO3_SC_G,QSO3_SC_H,QSO3_SC_I,QSO3_SC_L,QSO3_SC_K,QSO3_SC_M,QSO3_SC_F,QSO3_SC_P,QSO3_SC_S,QSO3_SC_T,QSO3_SC_W,QSO3_SC_Y,QSO3_SC_V,QSO3_G_A,QSO3_G_R,QSO3_G_N,QSO3_G_D,QSO3_G_C,QSO3_G_Q,QSO3_G_E,QSO3_G_G,QSO3_G_H,QSO3_G_I,QSO3_G_L,QSO3_G_K,QSO3_G_M,QSO3_G_F,QSO3_G_P,QSO3_G_S,QSO3_G_T,QSO3_G_W,QSO3_G_Y,QSO3_G_V,QSO3_SC1,QSO3_SC2,QSO3_SC3,QSO3_G1,QSO3_G2,QSO3_G3
0.6477,0.3238,0.0,0.9715,0.6477,0.0,0.3238,0.0,0.3238,0.0,0.0,0.3238,0.3238,0.6477,0.0,0.3238,0.3238,0.0,0.3238,0.6477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2038,0.2374,0.235,0.2038,0.2374,0.235
0.2535,0.5071,0.0,0.0,0.0,1.0141,0.5071,0.2535,0.2535,0.0,0.7606,1.2677,0.0,0.2535,1.0141,1.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.2185,0.2621,0.2659,0.2185,0.2621,0.2659
0.7496,0.7496,0.1874,0.1874,0.0,0.1874,0.7496,0.1874,0.1874,0.0,0.7496,0.1874,0.0,0.0,0.7496,0.5622,0.1874,0.0,0.937,0.1874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.2593,0.2687,0.2846,0.2593,0.2687,0.2846
0.4133,0.4133,0.0,0.0,0.0,0.8267,0.0,1.24,0.4133,0.0,0.8267,0.0,0.4133,0.0,0.0,0.0,0.4133,0.4133,0.0,0.4133,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2163,0.1944,0.1759,0.2163,0.1944,0.1759
1.1246,0.5623,0.5623,0.0,0.5623,0.0,0.2811,0.2811,0.0,0.0,0.2811,0.8434,0.0,0.8434,0.2811,1.1246,0.5623,0.2811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1909,0.2513,0.2766,0.1909,0.2513,0.2766
0.4741,0.0,0.9482,0.0,0.0,0.4741,0.0,0.9482,0.4741,0.0,0.0,0.0,0.0,0.4741,0.0,0.4741,0.0,0.4741,0.9482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1499,0.1885,0.1874,0.1499,0.1885,0.1874
0.9249,0.9249,0.0,0.3083,0.0,0.0,0.0,1.2332,0.0,0.0,0.6166,0.0,0.0,0.0,0.0,0.3083,0.3083,0.6166,0.0,0.3083,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2117,0.2399,0.2402,0.2117,0.2399,0.2402
0.3179,0.0,0.3179,0.3179,0.0,0.0,1.9072,0.9536,0.0,0.0,0.9536,0.0,0.3179,0.0,0.3179,0.0,0.0,0.0,0.3179,0.6357,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2147,0.2288,0.2387,0.2147,0.2288,0.2387
0.4546,0.4546,0.4546,0.0,0.0,0.0,0.4546,0.4546,0.0,0.0,0.4546,0.0,0.4546,0.0,0.4546,0.0,0.4546,0.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.2025,0.2099,0.133,0.2025,0.2099,0.133
0.4451,0.4451,1.3353,1.1127,0.4451,0.0,0.0,1.5578,0.0,0.2225,0.0,0.2225,0.0,0.2225,0.4451,0.4451,0.2225,0.0,0.4451,0.2225,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2145,0.2934,0.2696,0.2145,0.2934,0.2696
