SEP_A,SEP_C,SEP_D,SEP_E,SEP_F,SEP_G,SEP_H,SEP_I,SEP_K,SEP_L,SEP_M,SEP_N,SEP_P,SEP_Q,SEP_R,SEP_S,SEP_T,SEP_V,SEP_W,SEP_Y
-0.342,-0.342,-0.42,-0.224,-0.342,0,-0.224,0,-0.224,0,-0.224,0,0,0,-0.224,-0.224,-0.224,-0.342,0,-0.224
-0.172,0,0,-0.272,-0.172,-0.172,-0.172,0,-0.444,-0.345,0,0,-0.401,-0.401,-0.272,-0.401,0,0,0,0
-0.352,0,-0.144,-0.352,0,-0.144,-0.144,0,-0.144,-0.352,0,-0.144,-0.352,-0.144,-0.352,-0.299,-0.144,-0.144,0,-0.396
-0.272,0,0,0,0,-0.476,-0.272,0,0,-0.401,-0.272,0,0,-0.401,-0.272,0,-0.272,-0.272,-0.272,0
-0.408,-0.278,0,-0.176,-0.352,-0.176,0,0,-0.352,-0.176,0,-0.278,-0.176,0,-0.278,-0.408,-0.278,0,-0.176,0
-0.299,0,0,0,-0.299,-0.431,-0.299,0,0,0,0,-0.431,0,-0.299,0,-0.299,0,0,-0.299,-0.431
-0.431,0,-0.232,0,0,-0.482,0,0,0,-0.352,0,0,0,0,-0.431,-0.232,-0.232,-0.232,-0.352,0
-0.216,0,-0.216,-0.521,0,-0.411,0,0,0,-0.411,-0.216,-0.216,-0.216,0,0,0,0,-0.332,0,-0.216
-0.314,0,0,-0.314,0,-0.314,0,0,0,-0.314,-0.314,-0.314,-0.314,0,-0.314,0,-0.314,0,-0.447,0
-0.236,-0.236,-0.401,0,-0.147,-0.464,0,-0.147,-0.147,0,0,-0.436,-0.236,0,-0.236,-0.236,-0.147,-0.147,0,-0.236
0,0,-0.476,-0.272,-0.401,-0.272,0,-0.272,0,-0.272,0,-0.272,0,0,-0.401,-0.272,0,-0.272,0,0
-0.209,0,-0.366,-0.366,-0.128,-0.209,-0.128,-0.272,0,-0.401,-0.128,-0.209,-0.128,-0.209,-0.323,-0.272,0,-0.272,0,-0.128
-0.256,-0.222,-0.182,-0.081,-0.222,0,0,-0.256,-0.418,-0.137,-0.081,-0.137,-0.182,-0.314,-0.222,-0.382,-0.256,-0.256,-0.081,-0.182
-0.383,0,0,-0.506,0,-0.306,-0.197,-0.197,0,-0.197,0,-0.306,0,0,-0.197,-0.479,-0.197,0,0,0
-0.216,0,-0.216,-0.411,-0.164,-0.216,-0.098,-0.216,-0.164,-0.431,-0.098,-0.098,-0.299,-0.098,-0.216,-0.362,-0.164,-0.26,0,0
-0.323,0,0,-0.209,0,-0.401,0,-0.209,-0.209,-0.493,-0.209,-0.456,0,0,0,-0.401,0,0,0,0
-0.408,0,-0.352,0,-0.352,-0.176,0,0,-0.278,-0.278,0,-0.176,0,-0.278,-0.352,-0.352,0,-0.278,0,-0.176
-0.272,0,-0.476,-0.366,0,-0.401,-0.209,0,-0.128,-0.366,0,-0.209,0,-0.128,-0.209,-0.323,-0.128,-0.128,0,0
-0.147,-0.088,-0.195,-0.236,-0.195,-0.401,-0.088,-0.195,-0.147,-0.304,-0.088,-0.195,-0.236,-0.236,-0.272,-0.358,-0.195,-0.236,-0.088,-0.147
